epoch,hwnd,before,after,interleaved_rows,ms
1789847011.8917499,0x40db2,4b6864,1c1c1c,0,12.742280960083008
1789847011.9167736,0x40db2,4b6864,1c1c1c,0,4.6634674072265625
1789847011.9298704,0x40db2,627c75,1c1c1c,0,4.605770111083984
1789847011.9444358,0x40db2,5f7162,1c1c1c,0,3.324747085571289
1789847011.9573586,0x40db2,5b6d66,1c1c1c,0,3.373861312866211
1789847011.969576,0x40db2,465a52,1c1c1c,0,2.4225711822509766
1789847011.9853585,0x40db2,506b62,1c1c1c,0,4.530429840087891
1789847011.9990337,0x40db2,4e5d58,1c1c1c,0,2.8154850006103516
1789847012.0118332,0x40db2,485550,1c1c1c,0,3.648996353149414
1789847012.0243874,0x40db2,506159,1c1c1c,0,3.099679946899414
1789847012.0376291,0x40db2,485755,1c1c1c,0,3.7994384765625
1789847012.0490344,0x40db2,41504e,1c1c1c,0,2.0723342895507812
1789847012.0623717,0x40db2,455556,1c1c1c,0,4.190206527709961
1789847012.0751877,0x40db2,445456,1c1c1c,0,3.2405853271484375
1789847012.0869327,0x40db2,1c1c1c,1c1c1c,0,5.671262741088867
1789847012.0979958,0x40db2,404d4e,1c1c1c,0,1.299142837524414
1789847012.1128266,0x40db2,435151,1c1c1c,0,4.838466644287109
1789847012.1266253,0x40db2,3f4a4b,1c1c1c,0,4.572629928588867
1789847012.1402915,0x40db2,5d6862,1c1c1c,0,3.3295154571533203
1789847012.15368,0x40db2,3b4543,1c1c1c,0,4.384040832519531
1789847012.1671448,0x40db2,4a5f55,1c1c1c,0,3.4122467041015625
1789847012.1785564,0x40db2,3c4b49,1c1c1c,0,2.7170181274414062
1789847012.1925805,0x40db2,465754,1c1c1c,0,3.1588077545166016
1789847012.2029889,0x40db2,455353,1c1c1c,0,2.729177474975586
1789847012.216146,0x40db2,3c4b4e,1c1c1c,0,3.318309783935547
1789847012.230139,0x40db2,404f53,1c1c1c,0,4.790306091308594
1789847012.2420104,0x40db2,3b4d4f,1c1c1c,0,2.319812774658203
1789847012.2547305,0x40db2,576b67,1c1c1c,0,4.868984222412109
1789847012.26779,0x40db2,5f7267,1c1c1c,0,2.388477325439453
