os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,Intel Core Ultra 7 355,Intel(R) Graphics (PTL),32351840,7.2.5-3-omarchy,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
120.902,8.27114,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,25038515
121.802,8.21003,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,33248668
119.467,8.37053,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,41619445
118.74,8.42174,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,50041295
119.258,8.38519,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,58426602
120.402,8.30552,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,66732396
122.26,8.1793,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,74911626
120.295,8.31291,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,83224594
117.523,8.50894,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,91733651
118.128,8.46543,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,100199658
121.797,8.21037,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,108411384
120.6,8.2919,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,116702825
120.142,8.32349,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,125027712
119.616,8.36012,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,133388079
120.887,8.27217,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,141660268
119.761,8.34999,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,150010777
118.867,8.41276,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,158424174
119.563,8.36378,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,166788771
121.983,8.19785,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,174986150
119.115,8.39522,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,183381818
120.437,8.3031,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,191685067
120.54,8.29598,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,199981341
119.635,8.35873,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,208340269
119.593,8.36172,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,216702217
121.159,8.2536,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,224955956
118.681,8.42595,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,233382407
121.015,8.26342,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,241645617
120.175,8.32119,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,249967193
119.918,8.33902,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,258306391
118.153,8.46358,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,266771008
121.937,8.20096,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,274971847
119.332,8.37996,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,283352186
119.746,8.35101,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,291703640
119.764,8.34973,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,300053719
121.113,8.25678,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,308310629
118.66,8.42745,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,316738465
119.892,8.34082,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,325081087
119.116,8.3952,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,333476575
120.676,8.28664,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,341763619
119.946,8.33706,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,350101420
119.115,8.39522,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,358497486
120.446,8.30247,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,366800041
120.39,8.30634,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,375107594
119.508,8.36767,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,383475748
120.67,8.28704,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,391762823
121.262,8.24657,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,400009368
120.048,8.32998,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,408339601
119.049,8.39991,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,416739872
120.491,8.29938,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,425039527
119.857,8.3433,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,433383019
120.731,8.2829,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,441665919
120.205,8.31911,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,449985028
120.283,8.31371,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,458298926
117.53,8.5085,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,466807566
121.734,8.21461,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,475022999
118.599,8.43175,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,483454729
122.407,8.1695,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,491624129
120.85,8.2747,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,499898870
118.489,8.43961,11.3534,0,58,52,0,2250,0,0,0,22.3918,11.9974,1.87387,3502,508341577
118.984,8.40447,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,516743424
121.897,8.20362,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,524947217
118.343,8.45,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,533397576
118.04,8.47171,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,541870868
123.147,8.1204,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,549991469
119.859,8.34313,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,558334765
119.328,8.38027,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,566715150
119.916,8.33917,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,575054491
120.088,8.32723,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,583382034
120.864,8.27377,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,591655801
120.166,8.32179,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,599978002
119.069,8.39851,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,608376773
119.63,8.35911,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,616736086
121.024,8.2628,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,624999468
119.44,8.3724,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,633371891
120.332,8.31037,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,641683225
120.631,8.28971,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,649972747
118.922,8.40886,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,658381326
119.544,8.36512,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,666746849
122.38,8.17127,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,674918135
119.25,8.38571,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,683303812
117.82,8.48754,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,691791459
120.661,8.28771,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,700079452
119.871,8.34232,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,708421818
120.772,8.28008,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,716701982
121.897,8.20362,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,724905670
118.956,8.40644,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,733312425
120.688,8.28583,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,741598276
118.732,8.42232,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,750020795
119.143,8.39325,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,758416347
120.757,8.2811,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,766696875
120.361,8.30833,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,775005500
119.855,8.34342,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,783349389
119.435,8.37277,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,791722169
120.673,8.28685,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,800009460
119.258,8.38518,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,808394665
120.203,8.31925,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,816714407
120.58,8.29323,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,825007963
119.492,8.36874,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,833376797
119.674,8.35601,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,841733394
120.741,8.28221,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,850015671
120.406,8.30526,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,858321350
120.28,8.31395,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,866635152
119.695,8.35454,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,874989880
120.152,8.32279,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,883312719
119.133,8.39394,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,891706726
120.336,8.31005,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,900016895
118.613,8.43077,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,908448065
119.851,8.3437,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,916791613
120.499,8.29882,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,925090523
122.021,8.19529,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,933285868
119.313,8.38134,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,941667525
121.007,8.26395,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,949931486
119.388,8.37608,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,958307673
118.061,8.47018,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,966780284
121.442,8.2344,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,975013814
119.642,8.35825,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,983372166
119.385,8.37623,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,991748861
120.998,8.26461,12.1287,0,56,52,0,2400,0,0,0,22.3683,11.9973,1.87529,3500,1000013724
