start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
170413744758060,170413744768867,170413744780533,170413744782644,170413744790555,170413744790631,265650,93825316351184,4375639744,7,2732,1151,91
170413758778930,170413758789949,170413758800917,170413758803159,170413758811912,170413758812001,265650,93825316351184,4375639744,7,2732,1151,92
170413771997100,170413772012416,170413772023356,170413772025415,170413772033319,170413772033401,265650,93825316351184,4375639744,7,2732,1151,93
170413785661860,170413785672919,170413785684191,170413785686453,170413785694337,170413785694386,265650,93825316351184,4375639744,7,2732,1151,94
170413799384606,170413799396029,170413799406878,170413799408949,170413799412501,170413799412583,265650,93825316351184,4375639744,7,2732,1151,95
170413814848360,170413814859563,170413814870295,170413814872047,170413814876840,170413814876914,265650,93825316351184,4375639744,7,2732,1151,96
170413827914804,170413827926082,170413827937090,170413827939229,170413827944261,170413827944351,265650,93825316351184,4375639744,7,2732,1151,97
170413841789016,170413841800063,170413841810724,170413841813021,170413841818337,170413841818408,265650,93825316351184,4375639744,7,2732,1151,98
170413855783260,170413855794137,170413855804542,170413855806520,170413855811548,170413855811594,265650,93825316351184,4375639744,7,2732,1151,99
170413869834832,170413869850103,170413869862403,170413869864057,170413869868136,170413869868228,265650,93825316351184,4375639744,7,2732,1151,100
170413883892789,170413883909337,170413883920247,170413883922432,170413883926240,170413883926336,265650,93825316351184,4375639744,7,2732,1151,101
170413897782384,170413897814561,170413897826266,170413897827691,170413897833006,170413897833080,265650,93825316351184,4375639744,7,2732,1151,102
170413912466810,170413912477013,170413912486633,170413912487563,170413912490670,170413912490740,265650,93825316351184,4375639744,7,2732,1151,103
170413926283413,170413926302748,170413926314126,170413926316830,170413926322687,170413926322768,265650,93825316351184,4375639744,7,2732,1151,104
170413939517965,170413939531043,170413939540629,170413939542186,170413939544926,170413939544981,265650,93825316351184,4375639744,7,2732,1151,105
170413954634315,170413954643173,170413954651671,170413954652859,170413954657040,170413954657100,265650,93825316351184,4375639744,7,2732,1151,106
170413969542982,170413969564095,170413969576397,170413969579582,170413969584126,170413969584230,265650,93825316351184,4375639744,7,2732,1151,107
170413981496021,170413981528332,170413981540413,170413981543102,170413981547567,170413981547663,265650,93825316351184,4375639744,7,2732,1151,108
170413995093768,170413995105288,170413995116734,170413995118960,170413995126893,170413995126991,265650,93825316351184,4375639744,7,2732,1151,109
170414008327240,170414008339498,170414008350619,170414008353154,170414008358103,170414008358188,265650,93825316351184,4375639744,7,2732,1151,110
170414022345487,170414022356814,170414022367398,170414022369100,170414022372361,170414022372427,265650,93825316351184,4375639744,7,2732,1151,111
170414036092079,170414036102985,170414036113667,170414036115322,170414036119650,170414036119711,265650,93825316351184,4375639744,7,2732,1151,112
170414049920975,170414049931527,170414049940452,170414049941798,170414049945512,170414049945578,265650,93825316351184,4375639744,7,2732,1151,113
170414063606694,170414063617079,170414063626628,170414063627752,170414063632939,170414063633015,265650,93825316351184,4375639744,7,2732,1151,114
170414077531502,170414077541679,170414077550489,170414077551711,170414077556612,170414077556667,265650,93825316351184,4375639744,7,2732,1151,115
170414092669163,170414092678145,170414092686366,170414092687113,170414092691448,170414092691515,265650,93825316351184,4375639744,7,2732,1151,116
170414106120055,170414106130088,170414106139309,170414106140475,170414106145315,170414106145390,265650,93825316351184,4375639744,7,2732,1151,117
170414118903728,170414118913046,170414118921580,170414118922731,170414118928013,170414118928086,265650,93825316351184,4375639744,7,2732,1151,118
170414133921930,170414133931339,170414133939967,170414133940974,170414133942886,170414133942938,265650,93825316351184,4375639744,7,2732,1151,119
170414147220490,170414147229410,170414147237562,170414147238397,170414147242065,170414147242118,265650,93825316351184,4375639744,7,2732,1151,120
170414161130606,170414161146244,170414161158127,170414161160731,170414161163969,170414161164049,265650,93825316351184,4375639744,7,2732,1151,121
170414175076973,170414175088693,170414175100033,170414175102553,170414175108122,170414175108225,265650,93825316351184,4375639744,7,2732,1151,122
170414188892169,170414188905445,170414188914971,170414188916444,170414188921521,170414188921582,265650,93825316351184,4375639744,7,2732,1151,123
170414202327938,170414202336345,170414202344462,170414202345519,170414202349856,170414202349919,265650,93825316351184,4375639744,7,2732,1151,124
170414215613927,170414215623940,170414215633238,170414215634134,170414215638091,170414215638140,265650,93825316351184,4375639744,7,2732,1151,125
170414228887913,170414228897855,170414228907070,170414228907972,170414228912268,170414228912327,265650,93825316351184,4375639744,7,2732,1151,126
170414242909360,170414242920725,170414242932144,170414242934490,170414242937994,170414242938085,265650,93825316351184,4375639744,7,2732,1151,127
170414256605747,170414256617222,170414256629242,170414256632505,170414256638420,170414256638498,265650,93825316351184,4375639744,7,2732,1151,128
170414270174891,170414270186397,170414270196895,170414270198629,170414270202719,170414270202779,265650,93825316351184,4375639744,7,2732,1151,129
170414283489423,170414283500199,170414283511016,170414283512817,170414283516806,170414283516872,265650,93825316351184,4375639744,7,2732,1151,130
170414298154284,170414298169734,170414298181379,170414298184056,170414298189913,170414298189995,265650,93825316351184,4375639744,7,2732,1151,131
170414310908633,170414310925026,170414310937382,170414310939294,170414310946550,170414310946626,265650,93825316351184,4375639744,7,2732,1151,132
170414324036447,170414324046274,170414324055338,170414324056389,170414324060968,170414324061043,265650,93825316351184,4375639744,7,2732,1151,133
170414337199260,170414337209684,170414337219175,170414337220148,170414337225831,170414337225895,265650,93825316351184,4375639744,7,2732,1151,134
170414350247361,170414350256452,170414350264511,170414350265386,170414350269600,170414350269662,265650,93825316351184,4375639744,7,2732,1151,135
170414363580280,170414363589270,170414363597439,170414363598573,170414363603539,170414363603602,265650,93825316351184,4375639744,7,2732,1151,136
170414376548923,170414376557245,170414376564864,170414376565567,170414376569658,170414376569722,265650,93825316351184,4375639744,7,2732,1151,137
170414389071431,170414389080661,170414389088602,170414389089690,170414389094555,170414389094604,265650,93825316351184,4375639744,7,2732,1151,138
170414401348054,170414401356865,170414401365139,170414401366170,170414401370527,170414401370581,265650,93825316351184,4375639744,7,2732,1151,139
170414416235718,170414416251649,170414416263693,170414416266477,170414416269440,170414416269529,265650,93825316351184,4375639744,7,2732,1151,140
170414428726129,170414428741917,170414428753970,170414428755621,170414428759658,170414428759747,265650,93825316351184,4375639744,7,2732,1151,141
170414441652942,170414441662054,170414441670542,170414441671402,170414441676019,170414441676085,265650,93825316351184,4375639744,7,2732,1151,142
170414454422641,170414454433018,170414454442463,170414454443474,170414454445433,170414454445500,265650,93825316351184,4375639744,7,2732,1151,143
170414467320341,170414467329619,170414467338094,170414467338953,170414467343749,170414467343819,265650,93825316351184,4375639744,7,2732,1151,144
170414480458864,170414480467845,170414480476106,170414480476922,170414480480341,170414480480410,265650,93825316351184,4375639744,7,2732,1151,145
170414492864331,170414492880919,170414492892944,170414492895468,170414492902442,170414492902539,265650,93825316351184,4375639744,7,2732,1151,146
170414505935445,170414505948185,170414505959232,170414505961537,170414505964838,170414505964930,265650,93825316351184,4375639744,7,2732,1151,147
170414517650301,170414517661412,170414517672032,170414517674279,170414517682016,170414517682076,265650,93825316351184,4375639744,7,2732,1151,148
170414529875383,170414529886571,170414529897355,170414529899116,170414529905919,170414529905991,265650,93825316351184,4375639744,7,2732,1151,149
170414544302326,170414544319686,170414544331766,170414544333569,170414544338127,170414544338215,265650,93825316351184,4375639744,7,2732,1151,150
170414556522253,170414556532670,170414556542162,170414556543614,170414556547189,170414556547247,265650,93825316351184,4375639744,7,2732,1151,151
170414569841750,170414569853570,170414569862120,170414569862898,170414569866857,170414569866910,265650,93825316351184,4375639744,7,2732,1151,152
170414582708418,170414582718305,170414582728408,170414582729499,170414582734818,170414582734879,265650,93825316351184,4375639744,7,2732,1151,153
170414595393642,170414595402285,170414595410346,170414595411110,170414595415083,170414595415132,265650,93825316351184,4375639744,7,2732,1151,154
170414607505378,170414607514253,170414607522750,170414607524201,170414607527322,170414607527375,265650,93825316351184,4375639744,7,2732,1151,155
170414621516044,170414621527707,170414621538729,170414621539816,170414621543925,170414621544003,265650,93825316351184,4375639744,7,2732,1151,156
170414633992827,170414634011608,170414634022860,170414634025399,170414634028554,170414634028644,265650,93825316351184,4375639744,7,2732,1151,157
170414645970697,170414645981478,170414645991437,170414645992910,170414645998472,170414645998536,265650,93825316351184,4375639744,7,2732,1151,158
170414660421678,170414660431898,170414660441385,170414660442735,170414660445541,170414660445615,265650,93825316351184,4375639744,7,2732,1151,159
170414672754060,170414672763733,170414672772866,170414672773881,170414672778580,170414672778658,265650,93825316351184,4375639744,7,2732,1151,160
170414685511459,170414685520348,170414685528362,170414685529161,170414685532683,170414685532740,265650,93825316351184,4375639744,7,2732,1151,161
170414698089056,170414698098930,170414698107952,170414698108723,170414698112928,170414698113007,265650,93825316351184,4375639744,7,2732,1151,162
170414710832970,170414710843160,170414710853330,170414710854999,170414710860611,170414710860661,265650,93825316351184,4375639744,7,2732,1151,163
170414722205620,170414722214866,170414722223236,170414722224237,170414722228418,170414722228469,265650,93825316351184,4375639744,7,2732,1151,164
170414736448960,170414736457942,170414736466605,170414736467472,170414736473298,170414736473355,265650,93825316351184,4375639744,7,2732,1151,165
170414748310384,170414748320805,170414748329980,170414748330998,170414748337600,170414748337680,265650,93825316351184,4375639744,7,2732,1151,166
170414760968152,170414760977024,170414760985415,170414760986203,170414760990385,170414760990434,265650,93825316351184,4375639744,7,2732,1151,167
170414773493455,170414773503584,170414773512489,170414773513327,170414773518515,170414773518569,265650,93825316351184,4375639744,7,2732,1151,168
170414785342570,170414785353428,170414785361999,170414785362945,170414785366699,170414785366751,265650,93825316351184,4375639744,7,2732,1151,169
170414796863199,170414796873621,170414796883092,170414796884176,170414796890085,170414796890152,265650,93825316351184,4375639744,7,2732,1151,170
170414810918908,170414810928016,170414810936146,170414810937597,170414810943165,170414810943228,265650,93825316351184,4375639744,7,2732,1151,171
170414823263225,170414823272284,170414823280612,170414823281414,170414823284327,170414823284395,265650,93825316351184,4375639744,7,2732,1151,172
170414834589725,170414834599177,170414834607508,170414834608743,170414834614492,170414834614561,265650,93825316351184,4375639744,7,2732,1151,173
170414846520214,170414846531005,170414846540328,170414846541191,170414846546593,170414846546664,265650,93825316351184,4375639744,7,2732,1151,174
170414858784219,170414858795344,170414858804671,170414858805721,170414858810253,170414858810309,265650,93825316351184,4375639744,7,2732,1151,175
170414871351813,170414871361062,170414871369373,170414871370385,170414871374326,170414871374374,265650,93825316351184,4375639744,7,2732,1151,176
170414883776609,170414883787389,170414883795747,170414883796648,170414883802038,170414883802089,265650,93825316351184,4375639744,7,2732,1151,177
170414896356116,170414896365025,170414896373345,170414896374510,170414896379484,170414896379539,265650,93825316351184,4375639744,7,2732,1151,178
170414908798239,170414908808207,170414908817378,170414908818467,170414908823844,170414908823907,265650,93825316351184,4375639744,7,2732,1151,179
170414921160649,170414921172194,170414921181908,170414921182944,170414921187563,170414921187617,265650,93825316351184,4375639744,7,2732,1151,180
170414933974482,170414933984483,170414933993640,170414933994802,170414933999948,170414933999996,265650,93825316351184,4375639744,7,2732,1151,181
170414948830636,170414948839860,170414948848206,170414948849023,170414948853481,170414948853535,265650,93825316351184,4375639744,7,2732,1151,182
170414959760065,170414959769036,170414959777434,170414959778422,170414959783607,170414959783662,265650,93825316351184,4375639744,7,2732,1151,183
