start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
170300270965564,170300270979707,170300270991062,170300270992358,170300270998595,170300270998690,265650,93825840194560,4375639744,7,2732,1151,3828
170300279241172,170300279254940,170300279266073,170300279267530,170300279273668,170300279273765,265650,93825840194560,4375639744,7,2732,1151,3829
170300287728903,170300287749930,170300287762307,170300287764714,170300287775021,170300287775118,265650,93825840194560,4375639744,7,2732,1151,3830
170300296022118,170300296038491,170300296050916,170300296053023,170300296063183,170300296063281,265650,93825840194560,4375639744,7,2732,1151,3831
170300304236356,170300304250586,170300304259458,170300304261325,170300304269136,170300304269237,265650,93825840194560,4375639744,7,2732,1151,3832
170300312568543,170300312582279,170300312591398,170300312593408,170300312599793,170300312599863,265650,93825840194560,4375639744,7,2732,1151,3833
170300321022111,170300321043285,170300321056556,170300321058719,170300321067625,170300321067746,265650,93825840194560,4375639744,7,2732,1151,3834
170300329231703,170300329249369,170300329262216,170300329264371,170300329275849,170300329275982,265650,93825840194560,4375639744,7,2732,1151,3835
170300337647138,170300337663329,170300337675427,170300337677367,170300337685045,170300337685126,265650,93825840194560,4375639744,7,2732,1151,3836
170300345966145,170300345979281,170300345990256,170300345991869,170300345998166,170300345998246,265650,93825840194560,4375639744,7,2732,1151,3837
170300354249776,170300354262283,170300354273371,170300354274452,170300354279776,170300354279868,265650,93825840194560,4375639744,7,2732,1151,3838
170300362655378,170300362668549,170300362679498,170300362680658,170300362686103,170300362686197,265650,93825840194560,4375639744,7,2732,1151,3839
170300371003871,170300371018920,170300371030247,170300371031749,170300371039182,170300371039259,265650,93825840194560,4375639744,7,2732,1151,3840
170300379219300,170300379233047,170300379244006,170300379245750,170300379251630,170300379251711,265650,93825840194560,4375639744,7,2732,1151,3841
170300387636152,170300387648806,170300387659622,170300387660520,170300387665467,170300387665545,265650,93825840194560,4375639744,7,2732,1151,3842
170300395948154,170300395962079,170300395973224,170300395974496,170300395980637,170300395980715,265650,93825840194560,4375639744,7,2732,1151,3843
