start,geometry,clip,blit,flush,end,hwnd,surface,thread,outcome,width,height,commit
171804822726595,171804822745968,171804822756528,171804822757949,171804822767264,171804822767327,265650,93825186940240,4375639744,7,2732,1151,9537
171804831056611,171804831073083,171804831083528,171804831085291,171804831095394,171804831095455,265650,93825186940240,4375639744,7,2732,1151,9538
171804839319408,171804839334874,171804839346015,171804839348204,171804839359665,171804839359749,265650,93825186940240,4375639744,7,2732,1151,9539
171804847689000,171804847703615,171804847714174,171804847716062,171804847724678,171804847724738,265650,93825186940240,4375639744,7,2732,1151,9540
171804856003650,171804856019138,171804856029642,171804856031272,171804856040220,171804856040279,265650,93825186940240,4375639744,7,2732,1151,9541
171804864339020,171804864362762,171804864374776,171804864378142,171804864388191,171804864388304,265650,93825186940240,4375639744,7,2732,1151,9542
171804872722660,171804872739041,171804872750520,171804872752664,171804872761565,171804872761639,265650,93825186940240,4375639744,7,2732,1151,9543
171804880998729,171804881019119,171804881030447,171804881033170,171804881041994,171804881042070,265650,93825186940240,4375639744,7,2732,1151,9544
171804889375909,171804889402644,171804889415904,171804889420383,171804889429094,171804889429171,265650,93825186940240,4375639744,7,2732,1151,9545
171804897753513,171804897768048,171804897777789,171804897779958,171804897788762,171804897788827,265650,93825186940240,4375639744,7,2732,1151,9546
171804906203459,171804906220007,171804906231527,171804906233974,171804906242003,171804906242094,265650,93825186940240,4375639744,7,2732,1151,9547
171804914353549,171804914365798,171804914379001,171804914380990,171804914386942,171804914387016,265650,93825186940240,4375639744,7,2732,1151,9548
171804922769867,171804922783725,171804922795140,171804922797228,171804922804824,171804922804913,265650,93825186940240,4375639744,7,2732,1151,9549
171804931109708,171804931131723,171804931143473,171804931146051,171804931156390,171804931156490,265650,93825186940240,4375639744,7,2732,1151,9550
171804939352211,171804939367182,171804939378721,171804939382295,171804939387810,171804939387872,265650,93825186940240,4375639744,7,2732,1151,9551
171804947733935,171804947746290,171804947757564,171804947760189,171804947765228,171804947765301,265650,93825186940240,4375639744,7,2732,1151,9552
171804956005252,171804956016568,171804956026895,171804956028507,171804956035358,171804956035418,265650,93825186940240,4375639744,7,2732,1151,9553
171804965033813,171804965044780,171804965055729,171804965057890,171804965066695,171804965066752,265650,93825186940240,4375639744,7,2732,1151,9554
171804973392845,171804973403807,171804973414936,171804973417390,171804973423369,171804973423440,265650,93825186940240,4375639744,7,2732,1151,9555
171804981735069,171804981746707,171804981758060,171804981760469,171804981767611,171804981767667,265650,93825186940240,4375639744,7,2732,1151,9556
171804992605149,171804992615683,171804992626381,171804992628089,171804992632337,171804992632400,265650,93825186940240,4375639744,7,2732,1151,9557
171805001086884,171805001099106,171805001110539,171805001112352,171805001122164,171805001122249,265650,93825186940240,4375639744,7,2732,1151,9558
171805009266652,171805009275897,171805009284265,171805009285260,171805009290343,171805009290393,265650,93825186940240,4375639744,7,2732,1151,9559
171805018530157,171805018541626,171805018552832,171805018555308,171805018561006,171805018561118,265650,93825186940240,4375639744,7,2732,1151,9560
171805026848694,171805026861271,171805026872122,171805026874632,171805026882275,171805026882366,265650,93825186940240,4375639744,7,2732,1151,9561
171805035183324,171805035195015,171805035205770,171805035207855,171805035213894,171805035213997,265650,93825186940240,4375639744,7,2732,1151,9562
171805043574555,171805043585218,171805043596046,171805043598193,171805043603454,171805043603523,265650,93825186940240,4375639744,7,2732,1151,9563
171805051854145,171805051872159,171805051883373,171805051885332,171805051891079,171805051891160,265650,93825186940240,4375639744,7,2732,1151,9564
171805060257456,171805060266803,171805060276582,171805060278590,171805060283555,171805060283630,265650,93825186940240,4375639744,7,2732,1151,9565
171805068621162,171805068702362,171805068713062,171805068714149,171805068717494,171805068717577,265650,93825186940240,4375639744,7,2732,1151,9566
