event,epoch,monotonic,window,x,y,width,height
map,1789852395.201437235,169398.411368301,1800014,1182,57,471,546
map,1789852396.028054714,169399.237985773,1800015,1182,57,471,546
map,1789852396.847225904,169400.057156990,1800016,1182,57,471,546
map,1789852397.699568987,169400.909499917,1800017,1182,57,471,546
map,1789852398.521620989,169401.731552121,1800018,1182,57,471,546
