os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,Intel Core Ultra 7 355,Intel(R) Graphics (PTL),32351840,7.2.5-3-omarchy,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
6.38264e-06,1.56675e+08,45.6522,0,0,50,0,1200,0,0,0,18.4766,11.0747,0,3199,172760753
0.702047,1424.41,43.4783,0,0,50,0,1200,0,0,0,18.4814,11.0747,0,3200,1597167310
0.650949,1536.22,51.2238,0,0,67,0,700,0,0,0,18.7196,11.0746,0,3800,1651932901
18.0607,55.369,67.4419,0,0,67,0,700,0,0,0,18.7269,11.0746,0,3800,1652530856
0.83528,1197.2,67.4419,0,0,67,0,700,0,0,0,18.7269,11.0746,0,3800,2849138268
6.38252e-06,1.56678e+08,48.4943,0,0,64,0,600,0,0,0,18.9963,11.0744,0,3793,2941136029
4.54907,219.825,93.0555,0,0,64,0,600,0,0,0,19.0669,11.074,0,3800,3068958976
0.680551,1469.4,93.0555,0,0,64,0,600,0,0,0,19.0669,11.074,0,3800,3121933138
6.38251e-06,1.56678e+08,90.9722,0,0,64,0,600,0,0,0,19.1258,11.0732,0,3799,3225566605
591.743,1.68992,90.3615,0,0,64,0,600,0,0,0,19.1539,11.0725,0,3800,3227250999
1.23041,812.739,90.3615,0,0,64,0,600,0,0,0,19.1539,11.0725,0,3800,4039996099
1.06484,939.111,71.7125,0,5,67,0,2050,0,0,0,19.687,11.0714,0,3800,4061045033
2.14748,465.662,94.4444,0,5,67,0,2050,0,0,0,19.7085,11.0714,0,3799,4526704676
1.64091,609.418,94.4444,0,5,67,0,2050,0,0,0,19.7085,11.0714,0,3799,4649414128
0.191224,5229.47,60,0,5,67,0,1800,0,0,0,19.9456,11.0713,0,3746,9878891460
0.0253772,39405.4,33.7154,0,17,66,0,700,0,0,0,18.9094,11.1648,0,3800,49284294008
0.0989284,10108.3,11.2334,0,0,46,0,400,0,0,0,19.7646,11.3815,0,1454,59392613396
14.5028,68.9523,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59461561178
21.6443,46.2015,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59507763641
152.253,6.56803,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59514331465
161.976,6.17374,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59520505915
146.484,6.82668,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59527333225
170.929,5.85039,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59533184566
409.65,2.44111,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59535625210
81.9701,12.1996,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59547826491
116.238,8.60306,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59556429793
121.163,8.25337,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59564683823
129.644,7.71341,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59572396930
124.926,8.00472,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59580402299
121.051,8.26095,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59588664722
106.33,9.40472,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59598069365
134.688,7.42456,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59605494595
129.375,7.72949,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59613224512
112.258,8.90801,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59622133070
101.018,9.89927,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59632032818
131.136,7.62569,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59639658838
110.588,9.04255,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59648701944
146.252,6.83752,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59655539959
105.372,9.4902,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59665030257
151.619,6.59549,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59671625968
103.45,9.6665,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59681293835
123.077,8.12503,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59689419385
111.683,8.95392,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59698373558
118.443,8.44291,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59706816303
113.809,8.78667,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59715606150
70.6715,14.15,17.9857,0,0,46,0,400,0,0,0,19.8637,11.381,0,1607,59729755571
