os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,Intel Core Ultra 7 355,Intel(R) Graphics (PTL),32351840,7.2.5-3-omarchy,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
39.8929,25.0671,31.1688,0,0,54,0,650,0,0,0,19.4595,10.0889,0,3195,121271029
4.15152,240.875,31.1688,0,0,54,0,650,0,0,0,19.4595,10.0889,0,3195,130193893
6.41293e-06,1.55935e+08,31.1688,0,0,54,0,650,0,0,0,19.4595,10.0889,0,3195,188281861
5.90587,169.323,65.3333,0,0,54,0,650,0,0,0,19.5376,10.0889,0,2609,290593802
0.965162,1036.1,65.3333,0,0,54,0,650,0,0,0,19.5376,10.0889,0,2609,1166297934
6.41289e-06,1.55936e+08,66.5389,0,0,59,0,2250,0,0,0,19.3154,10.0897,0,3600,1202529293
0.776596,1287.67,79.3103,0,0,59,0,2250,0,0,0,19.3215,10.0897,0,3800,2453974038
1.64303,608.633,26.6667,0,0,65,0,900,0,0,0,19.161,10.0908,0,3765,3062598555
0.530192,1886.11,28.9796,0,6,65,0,1450,0,0,0,18.7255,10.0915,0,2980,3088644048
0.580511,1722.62,86.9565,0,6,65,0,1450,0,0,0,18.7457,10.0915,0,1600,4811259595
0.104251,9592.19,55.8055,0,9,62,0,950,0,0,0,18.892,10.0978,0,3784,14403464283
0.10699,9346.63,22.7214,0,0,50,0,500,0,0,0,19.7366,10.097,0,1400,23750094637
11.7146,85.3634,19.8001,0,0,51,0,400,0,0,0,19.8433,9.50988,0,1291,23835450958
55.1515,18.1319,19.8001,0,0,51,0,400,0,0,0,19.8433,9.50988,0,1291,23853581685
52.9204,18.8963,19.8001,0,0,51,0,400,0,0,0,19.8433,9.50988,0,1291,23872479014
51.9822,19.2374,19.8001,0,0,51,0,400,0,0,0,19.8433,9.50988,0,1291,23891716901
49.2018,20.3245,19.8001,0,0,51,0,400,0,0,0,19.8433,9.50988,0,1291,23912043308
54.6019,18.3144,19.8001,0,0,51,0,400,0,0,0,19.8433,9.50988,0,1291,23930357552
52.2956,19.1221,19.8001,0,0,51,0,400,0,0,0,19.8433,9.50988,0,1291,23949480028
51.0983,19.5701,19.8001,0,0,51,0,400,0,0,0,19.8433,9.50988,0,1291,23969051299
54.9178,18.209,19.8001,0,0,51,0,400,0,0,0,19.8433,9.50988,0,1291,23987260511
