frame,epoch,capture_ms,mean_luma,dark_fraction,background_fraction,monotonic
70,1789864082.504894,6.162,103.637,0.043212,0.021573,181085.714825496
71,1789864082.555016,6.196,103.637,0.043212,0.021573,181085.764946525
72,1789864082.606095,7.166,103.637,0.043212,0.021573,181085.816026374
73,1789864082.656337,7.322,103.637,0.043212,0.021573,181085.866268132
74,1789864082.706906,7.786,103.637,0.043212,0.021573,181085.916837023
75,1789864082.757037,7.859,103.637,0.043212,0.021573,181085.966968056
76,1789864082.807018,7.781,103.637,0.043212,0.021573,181086.016948923
77,1789864082.857014,7.714,103.637,0.043212,0.021573,181086.066945090
78,1789864082.906741,7.379,103.637,0.043212,0.021573,181086.116671461
79,1789864082.956774,7.350,103.637,0.043212,0.021573,181086.166705223
80,1789864083.007123,7.620,103.637,0.043212,0.021573,181086.217053987
81,1789864083.057177,7.584,103.637,0.043212,0.021573,181086.267107468
82,1789864083.107131,7.458,103.637,0.043212,0.021573,181086.317061822
83,1789864083.163582,13.831,103.637,0.043212,0.021573,181086.373513071
84,1789864083.203884,4.046,105.020,0.038575,0.000336,181086.413814827
85,1789864083.253669,3.773,112.508,0.003159,0.000336,181086.463600373
86,1789864083.304033,4.059,103.208,0.001411,0.000336,181086.513963785
87,1789864083.353455,3.356,100.214,0.002554,0.000336,181086.563385794
88,1789864083.404246,4.067,100.214,0.002554,0.000336,181086.614176481
89,1789864083.454277,4.035,100.120,0.002352,0.000336,181086.664207695
90,1789864083.504181,3.880,100.120,0.002352,0.000336,181086.714111652
91,1789864083.554209,3.849,100.120,0.002352,0.000336,181086.764139870
92,1789864083.604764,4.343,100.120,0.002352,0.000336,181086.814694718
93,1789864083.654770,4.263,100.120,0.002352,0.000336,181086.864701358
94,1789864083.705252,4.660,100.120,0.002352,0.000336,181086.915182945
95,1789864083.755079,4.397,100.120,0.002352,0.000336,181086.965010207
96,1789864083.805705,4.941,100.120,0.002352,0.000336,181087.015635856
97,1789864083.855650,4.790,100.120,0.002352,0.000336,181087.065580694
98,1789864083.906308,5.351,100.120,0.002352,0.000336,181087.116239285
99,1789864083.956306,5.280,100.120,0.002352,0.000336,181087.166236876
100,1789864084.007193,6.084,100.120,0.002352,0.000336,181087.217123459
101,1789864084.057016,5.849,100.120,0.002352,0.000336,181087.266946823
102,1789864084.107540,6.280,100.120,0.002352,0.000336,181087.317470812
103,1789864084.157909,6.587,100.120,0.002352,0.000336,181087.367840254
104,1789864084.209225,7.833,100.120,0.002352,0.000336,181087.419155899
105,1789864084.259167,7.714,100.120,0.002352,0.000336,181087.469097968
106,1789864084.309379,7.827,100.120,0.002352,0.000336,181087.519309571
107,1789864084.359392,7.756,100.120,0.002352,0.000336,181087.569323215
108,1789864084.409474,7.760,100.120,0.002352,0.000336,181087.619405138
109,1789864084.459558,7.758,100.120,0.002352,0.000336,181087.669488872
110,1789864084.509660,7.776,100.120,0.002352,0.000336,181087.719590907
111,1789864084.559680,7.738,100.120,0.002352,0.000336,181087.769610629
112,1789864084.609874,7.850,100.120,0.002352,0.000336,181087.819805333
113,1789864084.673884,21.783,100.120,0.002352,0.000336,181087.883815347
114,1789864084.714349,12.188,100.120,0.002352,0.000336,181087.924279937
115,1789864084.756624,4.404,101.671,0.001882,0.000336,181087.966555185
116,1789864084.806432,4.153,109.705,0.003091,0.000336,181088.016363267
117,1789864084.856469,4.132,109.513,0.031384,0.000336,181088.066399669
118,1789864084.906905,4.511,104.430,0.041868,0.007124,181088.116836075
119,1789864084.956634,4.180,104.430,0.041868,0.007124,181088.166564980
120,1789864085.006876,4.338,103.637,0.043212,0.021573,181088.216807245
121,1789864085.057005,4.405,103.637,0.043212,0.021573,181088.266936021
122,1789864085.107221,4.537,103.637,0.043212,0.021573,181088.317151894
123,1789864085.157244,4.480,103.637,0.043212,0.021573,181088.367175286
124,1789864085.207522,4.678,103.637,0.043212,0.021573,181088.417452982
125,1789864085.257535,4.583,103.637,0.043212,0.021573,181088.467466043
126,1789864085.307684,4.672,103.637,0.043212,0.021573,181088.517615490
127,1789864085.357952,4.827,103.637,0.043212,0.021573,181088.567882642
128,1789864085.408114,4.927,103.637,0.043212,0.021573,181088.618045036
129,1789864085.458603,5.355,103.637,0.043212,0.021573,181088.668533512
130,1789864085.508903,5.597,103.637,0.043212,0.021573,181088.718833650
131,1789864085.559211,5.848,103.637,0.043212,0.021573,181088.769142002
132,1789864085.609448,6.026,103.637,0.043212,0.021573,181088.819378841
133,1789864085.660283,6.800,103.637,0.043212,0.021573,181088.870213684
134,1789864085.710464,6.924,103.637,0.043212,0.021573,181088.920395186
135,1789864085.761386,7.767,103.637,0.043212,0.021573,181088.971316700
136,1789864085.811533,7.851,103.637,0.043212,0.021573,181089.021463775
137,1789864085.861551,7.781,103.637,0.043212,0.021573,181089.071481608
138,1789864085.911493,7.635,103.637,0.043212,0.021573,181089.121424097
139,1789864085.961783,7.863,103.637,0.043212,0.021573,181089.171714486
140,1789864086.011747,7.764,103.637,0.043212,0.021573,181089.221677803
141,1789864086.061772,7.730,103.637,0.043212,0.021573,181089.271703408
142,1789864086.111969,7.837,103.637,0.043212,0.021573,181089.321900158
143,1789864086.162100,7.906,103.637,0.043212,0.021573,181089.372031366
144,1789864086.223139,18.885,103.637,0.043212,0.021573,181089.433069834
145,1789864086.262214,7.898,103.637,0.043212,0.021573,181089.472144735
146,1789864086.308044,3.669,109.863,0.032325,0.000336,181089.517975209
147,1789864086.358695,4.236,108.788,0.002554,0.000336,181089.568625859
148,1789864086.409690,5.148,101.318,0.002419,0.000336,181089.619620777
149,1789864086.458828,4.205,100.214,0.002554,0.000336,181089.668759561
150,1789864086.509123,4.439,100.214,0.002554,0.000336,181089.719054164
151,1789864086.559048,4.286,100.120,0.002352,0.000336,181089.768978847
152,1789864086.609035,4.189,100.120,0.002352,0.000336,181089.818966485
153,1789864086.659349,4.420,100.120,0.002352,0.000336,181089.869279822
154,1789864086.709282,4.275,100.120,0.002352,0.000336,181089.919213071
155,1789864086.759573,4.477,100.120,0.002352,0.000336,181089.969504044
156,1789864086.809663,4.506,100.120,0.002352,0.000336,181090.019593584
157,1789864086.860112,4.881,100.120,0.002352,0.000336,181090.070042666
158,1789864086.910109,4.801,100.120,0.002352,0.000336,181090.120040158
159,1789864086.961094,5.729,100.120,0.002352,0.000336,181090.171025407
160,1789864087.010916,5.473,100.120,0.002352,0.000336,181090.220847154
161,1789864087.062036,6.518,100.120,0.002352,0.000336,181090.271967158
162,1789864087.112133,6.541,100.120,0.002352,0.000336,181090.322064063
163,1789864087.163176,7.506,100.120,0.002352,0.000336,181090.373107302
164,1789864087.213179,7.428,100.120,0.002352,0.000336,181090.423109606
165,1789864087.263324,7.499,100.120,0.002352,0.000336,181090.473254929
166,1789864087.313361,7.454,100.120,0.002352,0.000336,181090.523292242
167,1789864087.363488,7.504,100.120,0.002352,0.000336,181090.573419349
168,1789864087.413721,7.655,100.120,0.002352,0.000336,181090.623651465
169,1789864087.463454,7.352,100.120,0.002352,0.000336,181090.673384592
170,1789864087.513563,7.386,100.120,0.002352,0.000336,181090.723493897
171,1789864087.563504,7.264,100.120,0.002352,0.000336,181090.773435537
172,1789864087.613893,7.572,100.120,0.002352,0.000336,181090.823823938
173,1789864087.664089,7.710,100.120,0.002352,0.000336,181090.874020119
174,1789864087.714178,7.635,100.120,0.002352,0.000336,181090.924108808
175,1789864087.772582,15.952,100.120,0.002352,0.000336,181090.982513067
176,1789864087.823958,17.268,100.120,0.002352,0.000336,181091.033888709
177,1789864087.860465,3.711,101.578,0.001815,0.000336,181091.070396046
178,1789864087.910648,3.813,109.651,0.002487,0.000336,181091.120579364
179,1789864087.960384,3.471,109.589,0.032796,0.000403,181091.170314835
180,1789864088.010983,3.990,104.453,0.043414,0.000336,181091.220914577
181,1789864088.061715,4.617,103.637,0.043212,0.021573,181091.271646022
182,1789864088.111445,4.247,103.637,0.043212,0.021573,181091.321375753
183,1789864088.161034,3.722,103.637,0.043212,0.021573,181091.370965181
184,1789864088.211771,4.383,103.637,0.043212,0.021573,181091.421702124
185,1789864088.264055,6.605,103.637,0.043212,0.021573,181091.473986547
186,1789864088.312160,4.633,103.637,0.043212,0.021573,181091.522090686
187,1789864088.362281,4.656,103.637,0.043212,0.021573,181091.572212258
188,1789864088.412321,4.637,103.637,0.043212,0.021573,181091.622251509
189,1789864088.462595,4.851,103.637,0.043212,0.021573,181091.672525671
190,1789864088.513018,5.193,103.637,0.043212,0.021573,181091.722948646
191,1789864088.563377,5.444,103.637,0.043212,0.021573,181091.773308165
192,1789864088.613685,5.691,103.637,0.043212,0.021573,181091.823615825
193,1789864088.664396,6.301,103.637,0.043212,0.021573,181091.874327260
194,1789864088.714110,5.956,103.637,0.043212,0.021573,181091.924040929
195,1789864088.764714,6.495,103.637,0.043212,0.021573,181091.974645188
196,1789864088.815136,6.835,103.637,0.043212,0.021573,181092.025067181
197,1789864088.865855,7.420,103.637,0.043212,0.021573,181092.075785373
198,1789864088.915877,7.325,103.637,0.043212,0.021573,181092.125808182
199,1789864088.966141,7.403,103.637,0.043212,0.021573,181092.176071883
200,1789864089.016190,7.337,103.637,0.043212,0.021573,181092.226120812
201,1789864089.066314,7.374,103.637,0.043212,0.021573,181092.276245016
202,1789864089.116743,7.713,103.637,0.043212,0.021573,181092.326673548
203,1789864089.166581,7.416,103.637,0.043212,0.021573,181092.376512042
204,1789864089.216818,7.539,103.637,0.043212,0.021573,181092.426749503
205,1789864089.266622,7.277,103.637,0.043212,0.021573,181092.476552679
206,1789864089.323118,13.693,103.637,0.043212,0.021573,181092.533048787
207,1789864089.363223,3.715,105.020,0.038575,0.000336,181092.573154041
208,1789864089.413419,3.831,112.321,0.003360,0.000336,181092.623350553
209,1789864089.463462,3.795,102.977,0.001613,0.000336,181092.673393157
210,1789864089.513910,4.183,100.175,0.002352,0.000336,181092.723841170
211,1789864089.563754,3.820,100.175,0.002352,0.000336,181092.773685518
212,1789864089.614307,4.174,100.120,0.002352,0.000336,181092.824238060
213,1789864089.664337,4.121,100.120,0.002352,0.000336,181092.874267937
214,1789864089.714161,3.885,100.120,0.002352,0.000336,181092.924091782
215,1789864089.764284,3.948,100.120,0.002352,0.000336,181092.974215360
216,1789864089.814567,4.109,100.120,0.002352,0.000336,181093.024497733
217,1789864089.864985,4.330,100.120,0.002352,0.000336,181093.074916216
218,1789864089.914998,4.235,100.120,0.002352,0.000336,181093.124929131
219,1789864089.965319,4.413,100.120,0.002352,0.000336,181093.175249885
220,1789864090.015811,4.772,100.120,0.002352,0.000336,181093.225741730
221,1789864090.066005,4.852,100.120,0.002352,0.000336,181093.275936385
222,1789864090.116338,5.011,100.120,0.002352,0.000336,181093.326269278
223,1789864090.166653,5.210,100.120,0.002352,0.000336,181093.376584465
224,1789864090.217150,5.615,100.120,0.002352,0.000336,181093.427081323
225,1789864090.267688,6.011,100.120,0.002352,0.000336,181093.477618784
226,1789864090.317944,6.090,100.120,0.002352,0.000336,181093.527875242
227,1789864090.368554,6.577,100.120,0.002352,0.000336,181093.578485177
228,1789864090.418549,6.445,100.120,0.002352,0.000336,181093.628480334
229,1789864090.469818,7.595,100.120,0.002352,0.000336,181093.679749150
230,1789864090.519905,7.480,100.120,0.002352,0.000336,181093.729836501
231,1789864090.570097,7.551,100.120,0.002352,0.000336,181093.780028438
232,1789864090.620178,7.479,100.120,0.002352,0.000336,181093.830108642
233,1789864090.670261,7.476,100.120,0.002352,0.000336,181093.880192364
234,1789864090.720162,7.292,100.120,0.002352,0.000336,181093.930093365
235,1789864090.770325,7.370,100.120,0.002352,0.000336,181093.980255931
236,1789864090.820856,7.824,100.120,0.002352,0.000336,181094.030787494
237,1789864090.887501,24.401,100.120,0.002352,0.000336,181094.097431627
238,1789864090.922168,8.989,101.633,0.001949,0.000336,181094.132098703
239,1789864090.967101,3.861,106.298,0.002016,0.000336,181094.177031470
240,1789864091.017245,3.919,112.274,0.018481,0.000336,181094.227175929
241,1789864091.067496,4.113,104.231,0.046774,0.007124,181094.277426917
242,1789864091.117793,4.340,104.231,0.046774,0.007124,181094.327724320
243,1789864091.167902,4.364,103.637,0.043212,0.021573,181094.377833270
244,1789864091.218088,4.469,103.637,0.043212,0.021573,181094.428019248
245,1789864091.268165,4.466,103.637,0.043212,0.021573,181094.478096435
246,1789864091.318480,4.694,103.637,0.043212,0.021573,181094.528410894
247,1789864091.368463,4.586,103.637,0.043212,0.021573,181094.578394199
248,1789864091.418688,4.754,103.637,0.043212,0.021573,181094.628619155
249,1789864091.469088,5.096,103.637,0.043212,0.021573,181094.679019032
250,1789864091.519382,5.295,103.637,0.043212,0.021573,181094.729313332
251,1789864091.569906,5.762,103.637,0.043212,0.021573,181094.779836918
252,1789864091.620174,5.968,103.637,0.043212,0.021573,181094.830104842
253,1789864091.670708,6.444,103.637,0.043212,0.021573,181094.880638999
254,1789864091.721012,6.690,103.637,0.043212,0.021573,181094.930942666
255,1789864091.771531,7.152,103.637,0.043212,0.021573,181094.981461588
256,1789864091.821637,7.195,103.637,0.043212,0.021573,181095.031568133
257,1789864091.872289,7.759,103.637,0.043212,0.021573,181095.082220020
258,1789864091.922544,7.919,103.637,0.043212,0.021573,181095.132474734
259,1789864091.972473,7.768,103.637,0.043212,0.021573,181095.182404489
