frame,epoch,capture_ms,mean_luma,dark_fraction,background_fraction,monotonic
0,1789864382.829134,13.869,103.637,0.043212,0.021573,181386.039064841
1,1789864382.873199,7.853,103.637,0.043212,0.021573,181386.083130057
2,1789864382.921600,6.101,103.637,0.043212,0.021573,181386.131530763
3,1789864382.971922,6.319,103.637,0.043212,0.021573,181386.181853143
4,1789864383.022693,6.970,103.637,0.043212,0.021573,181386.232624278
5,1789864383.072751,6.946,103.637,0.043212,0.021573,181386.282681710
6,1789864383.123055,7.140,103.637,0.043212,0.021573,181386.332986041
7,1789864383.172976,6.969,103.637,0.043212,0.021573,181386.382906859
8,1789864383.223287,7.171,103.637,0.043212,0.021573,181386.433218190
9,1789864383.273974,7.712,103.637,0.043212,0.021573,181386.483905471
10,1789864383.323793,7.412,103.637,0.043212,0.021573,181386.533723975
11,1789864383.373848,7.380,103.637,0.043212,0.021573,181386.583779052
12,1789864383.423893,7.365,103.637,0.043212,0.021573,181386.633823543
13,1789864383.474231,7.629,103.637,0.043212,0.021573,181386.684162244
14,1789864383.523987,7.295,103.637,0.043212,0.021573,181386.733918187
15,1789864383.574149,7.399,103.637,0.043212,0.021573,181386.784079865
16,1789864383.624209,7.328,103.637,0.043212,0.021573,181386.834139951
17,1789864383.674561,7.539,103.637,0.043212,0.021573,181386.884492246
18,1789864383.724491,7.359,103.637,0.043212,0.021573,181386.934421810
19,1789864383.774130,6.876,103.637,0.043212,0.021573,181386.984061565
20,1789864383.824213,6.895,103.637,0.043212,0.021573,181387.034143683
21,1789864383.873961,6.582,103.637,0.043212,0.021573,181387.083892691
22,1789864383.923038,5.550,103.637,0.043212,0.021573,181387.132968618
23,1789864383.983425,15.879,100.120,0.002352,0.000336,181387.193355819
24,1789864384.023084,5.336,100.120,0.002352,0.000336,181387.233015255
25,1789864384.073350,5.486,100.120,0.002352,0.000336,181387.283280826
26,1789864384.123819,5.819,100.120,0.002352,0.000336,181387.333749692
27,1789864384.187311,19.216,100.120,0.002352,0.000336,181387.397242209
28,1789864384.223572,5.403,100.120,0.002352,0.000336,181387.433502388
29,1789864384.273953,5.667,100.120,0.002352,0.000336,181387.483884157
30,1789864384.324368,5.876,100.120,0.002352,0.000336,181387.534298835
31,1789864384.374765,6.188,100.120,0.002352,0.000336,181387.584696007
32,1789864384.425520,6.810,100.120,0.002352,0.000336,181387.635451049
33,1789864384.475794,7.012,100.120,0.002352,0.000336,181387.685724545
34,1789864384.525751,6.896,100.120,0.002352,0.000336,181387.735681633
35,1789864384.576109,7.170,100.120,0.002352,0.000336,181387.786040440
36,1789864384.626122,7.099,100.120,0.002352,0.000336,181387.836052708
37,1789864384.676137,7.009,100.120,0.002352,0.000336,181387.886068595
38,1789864384.726068,6.860,100.120,0.002352,0.000336,181387.935998588
39,1789864384.776808,7.482,100.120,0.002352,0.000336,181387.986738744
40,1789864384.826984,7.532,100.120,0.002352,0.000336,181388.036914725
41,1789864384.877151,7.612,100.120,0.002352,0.000336,181388.087081912
42,1789864384.927526,7.948,100.120,0.002352,0.000336,181388.137457488
43,1789864384.977608,7.955,100.120,0.002352,0.000336,181388.187539273
44,1789864385.027636,7.884,100.120,0.002352,0.000336,181388.237567306
45,1789864385.077695,7.867,100.120,0.002352,0.000336,181388.287626112
46,1789864385.127796,7.882,100.120,0.002352,0.000336,181388.337727348
47,1789864385.177720,7.718,100.120,0.002352,0.000336,181388.387650690
48,1789864385.228048,7.948,100.120,0.002352,0.000336,181388.437979227
49,1789864385.278090,7.931,100.120,0.002352,0.000336,181388.488020962
50,1789864385.327971,7.755,100.120,0.002352,0.000336,181388.537902579
51,1789864385.377677,7.399,100.120,0.002352,0.000336,181388.587608325
52,1789864385.431566,11.229,100.120,0.002352,0.000336,181388.641496671
53,1789864385.476159,5.766,100.120,0.002352,0.000336,181388.686090202
54,1789864385.525904,5.425,103.637,0.043212,0.021573,181388.735835522
55,1789864385.575985,5.446,103.637,0.043212,0.021573,181388.785915716
56,1789864385.626415,5.793,103.637,0.043212,0.021573,181388.836346269
57,1789864385.676650,5.945,103.637,0.043212,0.021573,181388.886580864
58,1789864385.726199,5.415,103.637,0.043212,0.021573,181388.936129783
59,1789864385.776397,5.472,103.637,0.043212,0.021573,181388.986328561
60,1789864385.827109,6.125,103.637,0.043212,0.021573,181389.037040375
61,1789864385.877316,6.253,103.637,0.043212,0.021573,181389.087247263
62,1789864385.928060,6.937,103.637,0.043212,0.021573,181389.137991152
63,1789864385.978253,7.052,103.637,0.043212,0.021573,181389.188184390
64,1789864386.028974,7.714,103.637,0.043212,0.021573,181389.238904919
65,1789864386.079340,7.995,103.637,0.043212,0.021573,181389.289270435
66,1789864386.129392,7.985,103.637,0.043212,0.021573,181389.339323145
67,1789864386.179527,8.038,103.637,0.043212,0.021573,181389.389458131
68,1789864386.229407,7.858,103.637,0.043212,0.021573,181389.439338075
69,1789864386.279504,7.891,103.637,0.043212,0.021573,181389.489435468
70,1789864386.329474,7.775,103.637,0.043212,0.021573,181389.539404765
71,1789864386.379584,7.825,103.637,0.043212,0.021573,181389.589514584
72,1789864386.429565,7.722,103.637,0.043212,0.021573,181389.639495779
73,1789864386.479800,7.865,103.637,0.043212,0.021573,181389.689730421
74,1789864386.529991,7.901,103.637,0.043212,0.021573,181389.739921979
75,1789864386.580129,7.981,103.637,0.043212,0.021573,181389.790060345
76,1789864386.630007,7.841,103.637,0.043212,0.021573,181389.839937801
77,1789864386.680115,7.892,103.637,0.043212,0.021573,181389.890045907
78,1789864386.730115,7.835,103.637,0.043212,0.021573,181389.940045782
79,1789864386.780319,7.982,103.637,0.043212,0.021573,181389.990250226
80,1789864386.829837,7.438,103.637,0.043212,0.021573,181390.039767637
81,1789864386.880350,7.894,103.637,0.043212,0.021573,181390.090281152
82,1789864386.936825,14.307,103.637,0.043212,0.021573,181390.146756013
83,1789864386.977995,5.421,103.637,0.043212,0.021573,181390.187926362
84,1789864387.028337,5.677,103.637,0.043212,0.021573,181390.238268383
85,1789864387.078080,5.339,100.120,0.002352,0.000336,181390.288011347
86,1789864387.128006,5.201,100.120,0.002352,0.000336,181390.337936858
87,1789864387.178704,5.821,100.120,0.002352,0.000336,181390.388635094
88,1789864387.228905,5.877,100.120,0.002352,0.000336,181390.438836397
89,1789864387.278586,5.456,100.120,0.002352,0.000336,181390.488517230
90,1789864387.328526,5.337,100.120,0.002352,0.000336,181390.538456592
91,1789864387.379366,6.120,100.120,0.002352,0.000336,181390.589296566
92,1789864387.429326,6.022,100.120,0.002352,0.000336,181390.639257433
93,1789864387.479483,6.121,100.120,0.002352,0.000336,181390.689414007
94,1789864387.530244,6.821,100.120,0.002352,0.000336,181390.740174833
95,1789864387.580610,7.126,100.120,0.002352,0.000336,181390.790540506
96,1789864387.631337,7.794,100.120,0.002352,0.000336,181390.841268540
97,1789864387.681155,7.524,100.120,0.002352,0.000336,181390.891086391
98,1789864387.730922,7.214,100.120,0.002352,0.000336,181390.940853608
99,1789864387.781110,7.325,100.120,0.002352,0.000336,181390.991041120
